OBJECTID,Type_WFRC,SUBTYPE_WFRC,PARCEL_ID,COUNT_PARCEL_ID,TOTAL_MKT_VALUE,LAND_MKT_VALUE,PARCEL_ACRES,HOUSE_CNT,parcel_count,ap_count,BLDG_SQFT,FLOORS_CNT,BUILT_YR,des_all,CITY,UNIT_COUNT,BUILT_DECADE
128,single_family,single_family,090250086,1.0,234000.0,59324.0,0.21200970672402,1,,0,1250.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
129,single_family,single_family,090250087,1.0,222000.0,57216.0,0.199644850522863,1,,0,1200.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
130,single_family,single_family,090250088,1.0,236000.0,75242.0,0.2658920748389,1,,0,1150.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
131,single_family,single_family,090250089,1.0,246000.0,63922.0,0.178277573050596,1,,0,1296.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
132,single_family,single_family,090250090,1.0,320000.0,84429.0,0.319118870908315,1,,0,1488.0,1.0,1965.0,['Ranch 1 Story'],Clearfield,1,1960's
133,single_family,single_family,090250091,1.0,231000.0,71891.0,0.203228666731319,1,,0,1410.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
134,single_family,single_family,090250092,1.0,238000.0,60789.0,0.208077155295896,1,,0,1200.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
135,single_family,single_family,090250093,1.0,244000.0,65811.0,0.23876625037615,1,,0,1175.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
136,single_family,single_family,090250094,1.0,237000.0,74450.0,0.257710013357527,1,,0,1175.0,1.0,1969.0,['Ranch 1 Story'],Clearfield,1,1960's
137,single_family,single_family,090250095,3.0,747000.0,256983.0,0.359450415912834,1,,0,4032.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
138,single_family,single_family,090250096,1.0,215000.0,68953.0,0.225806217532663,1,,0,1199.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
139,single_family,single_family,090250097,1.0,232000.0,62447.0,0.216304698450514,1,,0,1290.0,1.0,1966.0,['Ranch 1 Story'],Clearfield,1,1960's
140,single_family,single_family,090250098,1.0,263000.0,62705.0,0.2351937039649,1,,0,1682.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
141,single_family,single_family,090250099,1.0,299000.0,69305.0,0.244135448889125,1,,0,1907.0,1.0,1967.0,['Ranch 1 Story'],Clearfield,1,1960's
142,single_family,single_family,090250100,2.0,540000.0,188498.0,0.28275961629131,1,,0,3016.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
143,single_family,single_family,090250101,1.0,257000.0,148357.0,0.826018317574155,1,,0,1225.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
144,single_family,single_family,090250102,1.0,219000.0,68955.0,0.234441213128818,1,,0,1150.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
145,single_family,single_family,090250103,1.0,198000.0,64327.0,0.227749181682773,1,,0,960.0,1.0,1971.0,['Ranch 1 Story'],Clearfield,1,1970's
146,single_family,single_family,090250104,2.0,490000.0,143318.0,0.260654484400467,1,,0,2450.0,1.0,1972.0,['Ranch 1 Story'],Clearfield,1,1970's
147,single_family,single_family,090250107,1.0,242000.0,68143.0,0.243882907045665,1,,0,1469.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
148,single_family,single_family,090250108,2.0,584000.0,126954.0,0.302290239899932,1,,0,3948.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
149,single_family,single_family,090250109,1.0,224000.0,75242.0,0.26947831107985,1,,0,1175.0,1.0,1973.0,['Ranch 1 Story'],Clearfield,1,1970's
