,ACCOUNTNO,des_all,count
321,010210089,[nan],1
322,010210090,[nan],1
323,010210092,['2 Story'],1
324,010210093,[nan],1
325,010220002,['3-4 plex LTEQ 3 Stories'],1
326,010220003,['Ranch 1 Story'],1
327,010220004,['Split Level'],1
328,010220005,['Ranch 1 Story'],1
329,010220006,['Ranch 1 Story'],1
330,010220007,['Ranch 1 Story'],1
331,010220008,['Bi Level'],1
332,010220010,['Ranch 1 Story'],1
333,010220011,['Ranch 1 Story'],1
334,010220012,['Ranch 1 Story'],1
335,010220017,['Ranch 1 Story'],1
336,010220018,"['Light Commercial Utility', 'Light Commercial Utility', 'Light Commercial Utility']",3
337,010220020,"['Bi Level', '2 Story']",2
338,010220021,[nan],1
339,010220022,"['Barn', 'Barn', 'Barn']",3
340,010220023,['Ranch 1 Story'],1
341,010220024,['Ranch 1 Story'],1
342,010220025,['Ranch 1 Story'],1
343,010220028,['Ranch 1 Story'],1
344,010220029,[nan],1
345,010220030,[nan],1
346,010220031,['Ranch 1 Story'],1
347,010220032,['Ranch 1 Story'],1
348,010220034,['Ranch 1 Story'],1
349,010220040,['Ranch 1 Story'],1
350,010220041,['Ranch 1 Story'],1
351,010220042,['Ranch 1 Story'],1
352,010220044,['Ranch 1 Story'],1
353,010220045,['Bi Level'],1
354,010220046,['Ranch 1 Story'],1
355,010220049,['Split Level'],1
356,010220050,['Ranch 1 Story'],1
357,010220051,['Ranch 1 Story'],1
358,010220052,['Ranch 1 Story'],1
359,010220053,['Ranch 1 Story'],1
360,010220054,['2 Story'],1
361,010220055,['Ranch 1 Story'],1
362,010220056,['Ranch 1 Story'],1
363,010220057,['Ranch 1 Story'],1
364,010220058,['Ranch 1 Story'],1
365,010220059,['Ranch 1 Story'],1
366,010220060,['Ranch 1 Story'],1
367,010220061,['Ranch 1 Story'],1
368,010220062,['Ranch 1 Story'],1
369,010220063,['Ranch 1 Story'],1
370,010220064,['Ranch 1 Story'],1
371,010220065,['Bi Level'],1
372,010220066,['Ranch 1 Story'],1
373,010220067,['Ranch 1 Story'],1
374,010220068,['Ranch 1 Story'],1
375,010220069,['Ranch 1 Story'],1
376,010220070,['Ranch 1 Story'],1
377,010220071,['Ranch 1 Story'],1
378,010220072,['Duplex Two Story'],1
379,010220073,[nan],1
380,010220075,[nan],1
381,010220078,['2 Story'],1
382,010220079,[nan],1
383,010220080,[nan],1
384,010220082,['Townhouse Two Story'],1
385,010220083,['Townhouse Two Story'],1
386,010220085,[nan],1
387,010220086,['Townhouse Two Story'],1
388,010220087,['Townhouse Two Story'],1
389,010220088,['Townhouse Two Story'],1
390,010220090,['Ranch 1 Story'],1
391,010220092,['2 Story'],1
392,010220095,['Townhouse Two Story'],1
393,010220096,[nan],1
394,010220097,['Duplex Two Story'],1
395,010220100,['Ranch 1 Story'],1
396,010220106,[nan],1
397,010220109,[nan],1
398,010220111,"['Ranch 1 Story', 'Ranch 1 Story']",2
399,010220112,[nan],1
400,010220113,['Ranch 1 Story'],1
401,010230001,['Ranch 1 Story'],1
402,010230002,['Ranch 1 Story'],1
403,010230003,['Ranch 1 Story'],1
404,010230004,['Split Level'],1
405,010230005,['Split Level'],1
406,010230006,['Split Level'],1
407,010230007,['Ranch 1 Story'],1
408,010230008,['Bi Level'],1
409,010230009,['Split Level'],1
410,010230010,['Ranch 1 Story'],1
411,010230011,['Split Level'],1
412,010230012,['Split Level'],1
413,010230013,['Split Level'],1
414,010230014,['Ranch 1 Story'],1
415,010230015,['Ranch 1 Story'],1
416,010230016,['Ranch 1 Story'],1
417,010230017,['Ranch 1 Story'],1
418,010230018,['2 Story'],1
419,010230019,['Bi Level'],1
420,010230020,['Bi Level'],1
421,010230021,['Bi Level'],1
422,010230022,['Bi Level'],1
423,010230023,['Bi Level'],1
424,010230024,['2 Story'],1
425,010230027,['2 Story'],1
426,010230028,['Bi Level'],1
427,010230029,['Ranch 1 Story'],1
428,010230030,['Ranch 1 Story'],1
429,010230031,['Ranch 1 Story'],1
430,010230032,['Ranch 1 Story'],1
431,010230033,['Bi Level'],1
432,010230034,['Split Level'],1
433,010230035,['Ranch 1 Story'],1
434,010230036,['Ranch 1 Story'],1
435,010230037,['Ranch 1 Story'],1
436,010230038,['Ranch 1 Story'],1
437,010230039,['Ranch 1 Story'],1
438,010230040,['Ranch 1 Story'],1
439,010230041,['Ranch 1 Story'],1
440,010230043,['Ranch 1 Story'],1
441,010230044,['Bi Level'],1
442,010230045,['Ranch 1 Story'],1
443,010230046,['Split Level'],1
444,010230047,['Ranch 1 Story'],1
445,010230048,['Ranch 1 Story'],1
446,010230050,['Bi Level'],1
447,010230051,['Bi Level'],1
448,010230052,['Bi Level'],1
449,010230053,['Ranch 1 Story'],1
450,010230054,['Bi Level'],1
451,010230055,[nan],1
452,010230056,['Ranch 1 Story'],1
453,010230057,['Ranch 1 Story'],1
454,010230058,['Ranch 1 Story'],1
455,010230059,['Ranch 1 Story'],1
456,010230060,['Ranch 1 Story'],1
457,010230061,['Ranch 1 Story'],1
458,010230062,['Ranch 1 Story'],1
459,010230063,['Ranch 1 Story'],1
460,010230064,['Ranch 1 Story'],1
461,010230065,['Ranch 1 Story'],1
462,010230066,['Ranch 1 Story'],1
463,010230067,['Ranch 1 Story'],1
464,010230068,['Ranch 1 Story'],1
465,010230069,['Ranch 1 Story'],1
466,010230070,['Ranch 1 Story'],1
467,010230071,['Ranch 1 Story'],1
468,010230072,['Ranch 1 Story'],1
469,010230073,['Ranch 1 Story'],1
470,010230074,['Ranch 1 Story'],1
471,010230075,['Ranch 1 Story'],1
472,010230076,['Ranch 1 Story'],1
