ACCOUNTNO,des_all,count,class,notes
120650141,"['Multipurpose Buildings', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Dormitory Residence Halls', 'Multipurpose Buildings', 'Dormitory Residence Halls', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Dormitory Residence Halls', 'Dormitory Residence Halls', 'Multipurpose Buildings', 'Multipurpose Buildings', 'Multipurpose Buildings']",16,group_quarters,
140680054,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",16,apartment,
10450082,"['Mini Warehouse', 'Office-Apartment', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",15,industrial,
63500001,"['Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Clubhouse', 'Mini Warehouse', 'Apartment LTEQ 3 Stories', 'Apartment LTEQ 3 Stories', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",15,apartment,
90210068,"['Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",15,apartment,
130400009,"['Multiple - Residential', 'Multiple - Residential', 'School - Public (exempt)', 'School - Public (exempt)', 'School - Public (exempt)', 'School - Public (exempt)', 'Multiple - Residential', 'School - Public (exempt)', 'School - Public (exempt)', 'School - Public (exempt)', 'School - Public (exempt)', 'School - Public (exempt)', 'Multiple - Residential', 'School - Public (exempt)', 'School - Public (exempt)']",15,education,
11020024,"['Storage Warehouse', 'Fire Station Staffed', 'Office Building', 'Maintenance (Storage) Buildings', 'Distribution Warehouse', 'Storage Warehouse', 'Indust Lght Manufacturing', 'Distribution Warehouse', 'Shower Building', 'Office Building', 'Storage Warehouse', 'Transit Warehouse', 'Maintenance (Storage) Buildings', 'Storage Warehouse']",14,industrial,
90200018,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Multiple - Residential', 'Multiple - Residential', 'Mini Warehouse', 'Mini Warehouse']",14,apartment,
11210001,"['Office Building', 'Health Club', 'Indust Lght Manufacturing', 'Storage Warehouse', 'Laboratories', 'Office Building', 'Indust Lght Manufacturing', 'Shower Building', 'Industrial Engineering & Research', 'Indust Heavy Manufacturing', 'Storage Warehouse', 'Equipment Building']",12,industrial,
30010171,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",12,industrial,
32470001,"['Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Light Commercial Utility', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",12,apartment,
100280039,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Light Commercial Utility', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential']",12,apartment,
110520088,"['Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Office Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",12,apartment,
120650195,"['Indust Heavy Manufacturing', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Industrial Flex Mall Building', 'Storage Warehouse', 'Indust Heavy Manufacturing', 'Indust Heavy Manufacturing', 'Storage Warehouse', 'Storage Warehouse', 'Storage Warehouse', 'Distribution Warehouse']",12,industrial,
60080090,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",11,industrial,
60950192,"['Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",11,apartment,
80760122,"['Storage Warehouse', 'Storage Warehouse', 'Barn Commercial', 'Light Commercial Utility', 'Lecture Hall Buildings', 'Storage Warehouse', 'Restroom Building/Concessions', 'Storage Warehouse', 'Light Commercial Utility', 'Barn Commercial', 'Barn Commercial']",11,industrial,
90370083,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office-Apartment', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Office Building']",11,industrial,
100200108,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",11,industrial,
100430014,"['Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",11,industrial,
102950001,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential']",11,apartment,
111000045,"['Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Clubhouse', 'Multiple - Residential', 'Multiple - Residential']",11,apartment,
140940084,"['Office Building', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential', 'Multiple - Residential']",11,apartment,
60510170,"['Industrial Flex Mall Building', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Industrial Flex Mall Building', 'Industrial Flex Mall Building', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse', 'Mini Warehouse']",10,industrial,
60800001,"['Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin', 'Cabin']",10,open_space,wetlands
